84,Boyz II Men,End of the Road,1992,22.898,12.287,7.905,8.656,2.567
85,The Fugees,Killing Me Softly With His Song,1996,22.861,3.62,8.439,23.086,1.686
86,Tony Orlando & Dawn,Tie a Yellow Ribbon 'round the Old Oak Tree,1973,22.858,12.339,15.219,6.933,0.593
87,Fergie,Big Girls Don't Cry,2007,22.615,8.695,8.5,7.3,2.02
88,Shocking Blue,Venus,1970,22.535,9.366,12.32,14.32,1.118
89,Eagles,Hotel California,1977,22.532,17.333,6.862,8.99,1.085
90,Bing Crosby,Swinging On a Star,1944,22.468,15.761,2.2,0.571,0.516
91,The Beatles,All You Need is Love,1967,22.448,9.415,13.004,11.93,0.531
92,Chubby Checker,The Twist,1960,22.42,19.039,4.716,1.6,0.567
93,Nelly & Kelly Rowland,Dilemma,2002,22.401,7.323,6.011,15.361,1.41
94,The Beatles,She Loves You,1964,22.398,15.736,10.626,6.88,0.677
95,Beyonce,Crazy in Love,2003,22.139,10.03,3.632,10.282,2.651
96,The Black Eyed Peas,I Gotta Feeling,2009,22.126,8.074,9,14.476,0.567
97,John Lennon,(Just Like) Starting Over,1980,22.094,11.893,10.558,10.674,1.187
98,Culture Club,Do You Really Want to Hurt Me?,1982,22.065,5.67,9.988,19.035,0.55
99,Brandy & Monica,The Boy is Mine,1998,22.026,9.228,5.811,10.457,2.597
100,Madonna,Like a Prayer,1989,21.992,9.617,9.006,18.434,2.026
101,Sean Kingston,Beautiful Girls,2007,21.963,5.274,9.2,8.292,2.85
102,Prince,When Doves Cry,1984,21.902,16.09,8.11,6.376,0.523
103,The Beatles,Yesterday,1965,21.879,16.534,4.319,9.083,1.01
104,The Pussycat Dolls,Don't Cha,2005,21.864,4.957,9.5,12.437,2.059
105,Bee Gees,Night Fever,1978,21.854,11.444,10.437,10.406,1.5
106,Diana Ross,Upside Down,1980,21.735,11.152,7.783,15.726,0.527
107,Madonna,Music,2000,21.688,7.246,7.093,14.284,2.662
108,Nickelback,How You Remind Me,2002,21.637,10.63,4.621,8.406,1.589
109,Archies,Sugar Sugar,1969,21.613,17.318,9.99,10.967,0.635
110,"Christina Aguilera, Lil' Kim, Mya & Pink",Lady Marmalade (Voulez-Vous Coucher Aver Moi Ce Soir?),2001,21.557,6.863,7.834,14.175,1.389
111,A-Ha,Take On Me,1985,21.527,9.177,6.979,20.959,0.566
112,Las Ketchup,The Ketchup Song (Asereje),2002,21.48,1.245,9.1,21.783,1.35
113,The Beatles,Get Back,1969,21.431,12.543,13.53,12.011,0.677
114,Rob Thomas & Santana,Smooth,1999,21.397,13.708,3.909,3.727,2.059
115,Snow,Informer,1993,21.344,5.239,7.168,17.839,2.813
116,Timbaland & OneRepublic,Apologize,2007,21.261,6.729,6,15.711,0.524
117,t.A.T.u.,All the Things She Said,2003,21.261,3.381,7.036,15.184,2.857
118,Take That,Back For Good,1995,21.14,2.414,9.519,15.852,2.09
119,The Beatles,"Hello, Goodbye",1967,21.084,7.574,11.504,11.52,1.049
120,Chicago,If You Leave Me Now,1976,21.072,7.82,12.947,12.564,0.833
121,Aqua,Barbie Girl,1997,21.012,3.172,8.982,19.615,1.059
122,Gnarls Barkley,Crazy,2006,20.983,8.248,5.963,12.739,1.079
123,Blondie,Call Me,1980,20.956,16.632,7.055,8.231,0.524
124,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),1987,20.902,7.308,10.093,17.132,0.526
125,Elton John & Kiki Dee,Don't Go Breaking My Heart,1976,20.883,7.387,15.289,10.822,0.667
126,Ace of Base,All That She Wants,1993,20.874,5.464,6.514,17.779,2.743
127,Boney M,Rivers of Babylon,1978,20.873,0.734,14.015,22.288,0.526
128,Michael Jackson,Black Or White,1991,20.863,6.303,8.542,18.088,2.634
129,Simon & Garfunkel,Bridge Over Troubled Water,1970,20.863,20.374,10.542,5.521,0.677
130,Chic,Le Freak,1979,20.857,13.249,11.578,9.643,0.76
131,TLC,No Scrubs,1999,20.818,7.598,8.985,8.196,2.067
132,Nancy Sinatra,These Boots Are Made For Walking,1966,20.799,10.266,13.435,8.624,0.51
133,Ray Charles,I Can't Stop Loving You,1962,20.777,14.412,7.094,3.388,0.75
134,Meat Loaf,I'd Do Anything For Love (But I Won't Do That),1993,20.751,5.083,10.109,16.79,0.537
135,Chubby Checker,Let's Twist Again,1961,20.744,6.127,4.692,10.669,0.833
136,Percy Faith,Theme From 'A Summer Place',1960,20.739,15.608,3.649,2.333,1.5
137,LMFAO,Party Rock Anthem,2011,20.722,8.541,7.5,5.05,0
138,James Blunt,You're Beautiful,2005,20.719,7.555,4,14.765,2.373
139,Don McLean,American Pie,1972,20.702,17.712,11.588,4.061,0.51
140,Ben E King,Stand By Me,1961,20.684,14.543,5.36,5.054,0.01
141,"Bryan Adams, Rod Stewart & Sting",All For Love,1994,20.622,5.214,6.6,19.349,1.757
142,Pink,So What,2008,20.607,5.255,8.5,11.703,0.518
143,Phil Collins,Another Day in Paradise,1989,20.584,8.667,5.005,20.807,3.033
144,Paul McCartney & Stevie Wonder,Ebony & Ivory,1982,20.497,7.866,8.133,14.855,0.583
145,Lady GaGa & Colby O'Donis,Just Dance,2008,20.459,7.556,7.743,9.112,0.625
146,Eiffel 65,Blue (Da Ba Dee),1999,20.448,2.457,9.455,22.102,0.556
147,Petula Clark,Downtown,1965,20.447,13.274,7.504,7.632,0.537
148,Michael Jackson,Beat It,1983,20.326,9.948,7.076,15.068,0.625
149,The Human League,Don't You Want Me,1982,20.294,7.954,12.298,8.047,1.032
150,Rick Astley,Never Gonna Give You Up,1987,20.285,5.941,13.056,13.967,0.532
151,Londonbeat,I've Been Thinking About You,1990,20.269,5.181,5.25,20.615,1.715
152,The Kingston Trio,Tom Dooley,1958,20.203,9.107,5.025,7.256,0
153,Bing Crosby & The Andrews Sisters,Don't Fence Me In,1944,20.052,10.829,4.5,0.7,0.518
154,Berlin,Take My Breath Away,1986,20.034,10.779,6.962,11.114,1
155,Beyonce,Irreplaceable,2006,20.027,11.514,5.793,5.432,1.168
156,Nirvana,Smells Like Teen Spirit,1992,19.917,11.165,4.452,13.101,1.978
157,U2,Beautiful Day,2000,19.889,7.554,6.536,13.319,1.512
158,Dinah Shore,Buttons & Bows,1948,19.851,9.604,4.5,0.511,0.537
159,Avril Lavigne,Girlfriend,2007,19.834,5.823,6.5,7.091,3.548
160,George McCrae,Rock Your Baby,1974,19.799,7.486,7.858,15.027,0.566
161,Gloria Gaynor,I Will Survive,1979,19.727,15.035,8.966,7.601,0.667
162,Mariah Carey,Without You,1994,19.661,4.402,6.318,19.523,1.733
163,Abba,Waterloo,1974,19.544,6.399,7.007,17.425,0.01
164,Les Paul & Mary Ford,Vaya Con Dios (may God Be With You),1953,19.525,12.568,2.843,1.51,0.7
165,Vanilla Ice,Ice Ice Baby,1990,19.487,5.516,7.969,13.922,1.114
166,Anton Karas,Third Man Theme,1950,19.48,9.078,5.25,1.591,0.543
167,Abba,Fernando,1976,19.47,3.434,13.096,16.465,0.01
168,R Kelly,I Believe I Can Fly,1997,19.448,7.863,5.902,11.573,1.037
169,Avril Lavigne,Complicated,2002,19.432,5.469,6.419,10.929,2.174
170,The Beatles,Penny Lane,1967,19.365,12.457,11.065,7.624,0.563
171,Eminem & Rihanna,Love The Way You Lie,2010,19.353,5.323,7,6.567,0
172,Adele,Rolling In The Deep,2011,19.322,11.236,3.2,5.2,0
173,Doris Day,Secret Love,1954,19.318,12.203,5.143,0.519,0.559
174,Olivia Newton-John,(Let's Get) Physical,1981,19.308,12.769,6.237,8.945,1
175,Boyz II Men,I'll Make Love to You,1994,19.291,9.544,5.825,4.404,3.077
176,Madonna & Justin Timberlake,Four Minutes,2008,19.271,4.056,6.567,14.355,0.532
177,Bryan Adams,Have You Ever Really Loved a Woman?,1995,19.25,6.098,5.25,13.99,1.375
178,MC Hammer,U Can't Touch This,1990,19.235,6.939,5.833,13.19,2.047
179,Gotye & Kimbra,Somebody That I Used to Know,2012,19.226,8.099,5.5,7,0
180,Starsound,Stars On 45,1981,19.173,5.947,10.1,15.311,0.511
181,Lipps Inc,Funkytow...
